county,species,mean_birds,% gardens,rank_birds
Aberdeen City,Great black backed gull,0,0,59
Aberdeen City,Grey partridge,0,0,60
Aberdeen City,Grey wagtail,0,0,61
Aberdeen City,Lapwing,0,0,62
Aberdeen City,Lesser black backed gull,0,0,63
Aberdeen City,Linnet,0,0,64
Aberdeen City,Little owl,0,0,65
Aberdeen City,Nuthatch,0,0,66
Aberdeen City,Raven,0,0,67
Aberdeen City,Red legged partridge,0,0,68
Aberdeen City,Redwing,0,0,69
Aberdeen City,Reed bunting,0,0,70
Aberdeen City,Skylark,0,0,71
Aberdeen City,Tawny owl,0,0,72
Aberdeen City,Willow tit,0,0,73
Aberdeenshire,House Sparrow,6.44,74.46,1
Aberdeenshire,Chaffinch,5.51,80.02,2
Aberdeenshire,Starling,4.49,54.95,3
Aberdeenshire,Blackbird,3.46,1.41,4
Aberdeenshire,Blue Tit,2.71,83.07,5
Aberdeenshire,Coal Tit,2,65.61,6
Aberdeenshire,Tree sparrow,1.76,21.8,7
Aberdeenshire,Great Tit,1.71,65.26,8
Aberdeenshire,Robin,1.71,93.56,9
Aberdeenshire,Goldfinch,1.55,30.87,10
Aberdeenshire,Woodpigeon,1.46,50.03,11
Aberdeenshire,Dunnock,1.16,52.96,12
Aberdeenshire,Carrion crow,1.1,34.61,13
Aberdeenshire,Greenfinch,1.03,33.04,14
Aberdeenshire,Collared Dove,0.83,33.92,15
Aberdeenshire,Rook,0.71,7.34,16
Aberdeenshire,Jackdaw,0.69,19.4,17
Aberdeenshire,Long tailed tit,0.59,11.96,18
Aberdeenshire,Siskin,0.57,16.78,19
Aberdeenshire,Pheasant,0.54,21.57,20
Aberdeenshire,Yellowhammer,0.43,11.99,21
Aberdeenshire,Brambling,0.41,12.58,22
Aberdeenshire,Common gull,0.4,7.12,23
Aberdeenshire,Great spotted woodpecker,0.38,27.27,24
Aberdeenshire,Magpie,0.37,20.74,25
Aberdeenshire,Herring gull,0.36,4.19,26
Aberdeenshire,Feral pigeon,0.32,9.44,27
Aberdeenshire,Wren,0.23,16.22,28
Aberdeenshire,Song.Thrush,0.16,10.54,29
Aberdeenshire,Fieldfare,0.15,6.14,30
Aberdeenshire,Buzzard,0.12,8.39,31
Aberdeenshire,Red legged partridge,0.1,0,32
Aberdeenshire,Redwing,0.1,1.8,33
Aberdeenshire,Treecreeper,0.1,8.54,34
Aberdeenshire,Jay,0.08,4.19,35
Aberdeenshire,Redpoll,0.07,2.02,36
Aberdeenshire,Sparrowhawk,0.06,5.69,37
Aberdeenshire,Hooded crow,0.06,2.32,38
Aberdeenshire,Waxwing,0.06,0.75,39
Aberdeenshire,Bullfinch,0.06,3.37,40
Aberdeenshire,Black headed gull,0.04,0.52,41
Aberdeenshire,Mistle thrush,0.03,2.32,42
Aberdeenshire,Grey partridge,0.03,0.82,43
Aberdeenshire,Blackcap,0.03,1.72,44
Aberdeenshire,Lapwing,0.03,0.3,45
Aberdeenshire,Goldcrest,0.02,1.8,46
Aberdeenshire,Lesser spotted woodpecker,0.02,1.8,47
Aberdeenshire,Mallard,0.02,0.67,48
Aberdeenshire,Pied wagtail,0.02,1.35,49
Aberdeenshire,Grey heron,0.02,1.65,50
Aberdeenshire,Chiffchaff,0.01,0.52,51
Aberdeenshire,Grey wagtail,0.01,0.75,52
Aberdeenshire,Kestrel,0.01,1.2,53
Aberdeenshire,Raven,0.01,0.75,54
Aberdeenshire,Stock dove,0.01,0.6,55
Aberdeenshire,Ring necked parakeet,0.01,0.82,56
Aberdeenshire,Linnet,0.01,0.37,57
Aberdeenshire,Red Kite,0.01,0.67,58
Aberdeenshire,Nuthatch,0.01,0.45,59
Aberdeenshire,Moorhen,0.01,0.3,60
Aberdeenshire,Barn owl,0.01,0.52,61
Aberdeenshire,Great black backed gull,0,0.07,62
Aberdeenshire,Green woodpecker,0,0.22,63
Aberdeenshire,Reed bunting,0,0.22,64
Aberdeenshire,Skylark,0,0.22,65
Aberdeenshire,Marsh tit,0,0.15,66
Aberdeenshire,Corn bunting,0,0.07,67
Aberdeenshire,Lesser black backed gull,0,0.07,68
Aberdeenshire,Willow tit,0,0.07,69
Aberdeenshire,Tawny owl,0,0.07,70
Aberdeenshire,Black redstart,0,0,71
Aberdeenshire,Little owl,0,0,72
Aberdeenshire,Meadow pipit,0,0,73
Angus,House Sparrow,6.87,78.67,1
Angus,Chaffinch,4.18,66.89,2
Angus,Blackbird,3.7,94.37,3
Angus,Starling,3.65,47.78,4
Angus,Blue Tit,2.96,81.57,5
Angus,Woodpigeon,2.07,67.58,6
Angus,Coal Tit,1.91,61.95,7
Angus,Great Tit,1.68,59.22,8
Angus,Goldfinch,1.67,33.26,9
Angus,Robin,1.59,89.25,10
Angus,Carrion crow,1.55,32.57,11
Angus,Dunnock,1.39,53.92,12
Angus,Tree sparrow,1.22,16.28,13
Angus,Collared Dove,1.1,43.86,14
Angus,Feral pigeon,1.1,16.97,15
Angus,Long tailed tit,0.95,14.81,16
Angus,Greenfinch,0.8,26.62,17
Angus,Yellowhammer,0.75,19.72,18
Angus,Pheasant,0.58,22.25,19
Angus,Siskin,0.49,12.84,20
Angus,Jackdaw,0.37,11.47,21
Angus,Common gull,0.28,7.34,22
Angus,Great spotted woodpecker,0.28,19.72,23
Angus,Rook,0.25,5.73,24
Angus,Brambling,0.24,9.4,25
Angus,Wren,0.2,17.31,26
Angus,Herring gull,0.17,5.28,27
Angus,Buzzard,0.15,10.09,28
Angus,Waxwing,0.15,0.92,29
Angus,Song.Thrush,0.14,10.02,30
Angus,Red legged partridge,0.11,0,31
Angus,Redwing,0.11,3.44,32
Angus,Jay,0.09,5.05,33
Angus,Bullfinch,0.08,4.13,34
Angus,Mistle thrush,0.08,2.29,35
Angus,Fieldfare,0.07,3.9,36
Angus,Grey partridge,0.07,1.15,37
Angus,Sparrowhawk,0.06,5.73,38
Angus,Magpie,0.05,2.9,39
Angus,Pied wagtail,0.05,2.75,40
Angus,Redpoll,0.05,1.38,41
Angus,Treecreeper,0.04,3.67,42
Angus,Linnet,0.04,0.69,43
Angus,Black headed gull,0.03,0.69,44
Angus,Hooded crow,0.03,1.38,45
Angus,Lesser spotted woodpecker,0.02,1.83,46
Angus,Kestrel,0.02,1.83,47
Angus,Stock dove,0.01,0.69,48
Angus,Chiffchaff,0.01,0.69,49
Angus,Blackcap,0.01,0.46,50
Angus,Green woodpecker,0.01,0.92,51
Angus,Grey heron,0.01,0.92,52
Angus,Goldcrest,0.01,0.69,53
Angus,Moorhen,0.01,0.23,54
Angus,Tawny owl,0.01,0.23,55
Angus,Corn bunting,0,0.46,56
Angus,Red Kite,0,0.23,57
Angus,Reed bunting,0,0.46,58
Angus,Ring necked parakeet,0,0.46,59
Angus,Barn owl,0,0.23,60
Angus,Great black backed gull,0,0.23,61
Angus,Lesser black backed gull,0,0.23,62
Angus,Black redstart,0,0,63
Angus,Grey wagtail,0,0,64
Angus,Lapwing,0,0,65
Angus,Little owl,0,0,66
Angus,Mallard,0,0,67
Angus,Marsh tit,0,0,68
Angus,Meadow pipit,0,0,69
Angus,Nuthatch,0,0,70
Angus,Raven,0,0,71
Angus,Skylark,0,0,72
Angus,Willow tit,0,0,73
Antrim,House Sparrow,4.81,64.84,1
Antrim,Starling,4.17,60.6,2
Antrim,Chaffinch,3.95,72.73,3
Antrim,Blackbird,2.57,91.77,4
Antrim,Blue Tit,2.47,80.05,5
Antrim,Goldfinch,2.21,34,6
Antrim,Great Tit,2.05,66.83,7
Antrim,Coal Tit,1.87,64.51,8
Antrim,Robin,1.51,87.12,9
Antrim,Collared Dove,1.46,53.45,10
Antrim,Magpie,1.28,59.27,11
Antrim,Feral pigeon,1.06,23.49,12
Antrim,Jackdaw,0.88,23.85,13
Antrim,Woodpigeon,0.82,35.74,14
Antrim,Greenfinch,0.8,28.18,15
Antrim,Carrion crow,0.8,19.01,16
Antrim,Long tailed tit,0.78,15.4,17
Antrim,Redpoll,0.73,11.92,18
Antrim,Dunnock,0.67,36.74,19
Antrim,Rook,0.65,10.86,20
Antrim,Siskin,0.57,16.06,21
Antrim,Tree sparrow,0.36,5.43,22
Antrim,Song.Thrush,0.35,26.54,23
Antrim,Wren,0.29,20.26,24
Antrim,Hooded crow,0.2,6.73,25
Antrim,Bullfinch,0.19,8.85,26
Antrim,Common gull,0.17,4.72,27
Antrim,Pied wagtail,0.15,10.04,28
Antrim,Blackcap,0.13,9.45,29
Antrim,Lapwing,0.11,0.24,30
Antrim,Pheasant,0.09,4.25,31
Antrim,Jay,0.09,5.19,32
Antrim,Linnet,0.08,1.65,33
Antrim,Black headed gull,0.07,1.42,34
Antrim,Brambling,0.06,2.83,35
Antrim,Mistle thrush,0.06,4.25,36
Antrim,Waxwing,0.05,0.94,37
Antrim,Grey wagtail,0.04,2.95,38
Antrim,Sparrowhawk,0.04,4.01,39
Antrim,Buzzard,0.04,2.24,40
Antrim,Goldcrest,0.03,2.01,41
Antrim,Fieldfare,0.02,1.18,42
Antrim,Treecreeper,0.02,1.77,43
Antrim,Raven,0.02,0.59,44
Antrim,Chiffchaff,0.02,0.71,45
Antrim,Ring necked parakeet,0.02,0.59,46
Antrim,Herring gull,0.01,0.83,47
Antrim,Moorhen,0.01,0.59,48
Antrim,Grey heron,0.01,0.83,49
Antrim,Lesser spotted woodpecker,0.01,0.12,50
Antrim,Mallard,0.01,0.59,51
Antrim,Yellowhammer,0.01,0.47,52
Antrim,Reed bunting,0.01,0.12,53
Antrim,Redwing,0.01,0.24,54
Antrim,Red legged partridge,0.01,0,55
Antrim,Kestrel,0,0.35,56
Antrim,Lesser black backed gull,0,0.12,57
Antrim,Skylark,0,0.12,58
Antrim,Great spotted woodpecker,0,0.12,59
Antrim,Nuthatch,0,0.12,60
Antrim,Red Kite,0,0.12,61
Antrim,Stock dove,0,0.12,62
Antrim,Barn owl,0,0,63
Antrim,Black redstart,0,0,64
Antrim,Corn bunting,0,0,65
Antrim,Great black backed gull,0,0,66
Antrim,Green woodpecker,0,0,67
Antrim,Grey partridge,0,0,68
Antrim,Little owl,0,0,69
Antrim,Marsh tit,0,0,70
Antrim,Meadow pipit,0,0,71
Antrim,Tawny owl,0,0,72
Antrim,Willow tit,0,0,73
Argyll & Bute,Chaffinch,9.4,88.29,1
Argyll & Bute,House Sparrow,4.31,61.43,2
Argyll & Bute,Blue Tit,3.86,88.71,3
Argyll & Bute,Blackbird,3.06,92.01,4
Argyll & Bute,Coal Tit,2.74,73,5
Argyll & Bute,Great Tit,2.33,75.9,6
Argyll & Bute,Robin,1.81,95.04,7
Argyll & Bute,Starling,1.75,24.66,8
Argyll & Bute,Dunnock,1.49,64.6,9
Argyll & Bute,Collared Dove,1.14,40.36,10
Argyll & Bute,Woodpigeon,1.01,32.51,11
Argyll & Bute,Feral pigeon,0.97,18.18,12
Argyll & Bute,Goldfinch,0.92,24.27,13
Argyll & Bute,Carrion crow,0.85,26.48,14
Argyll & Bute,Greenfinch,0.77,27.55,15
Argyll & Bute,Siskin,0.76,20.75,16
Argyll & Bute,Long tailed tit,0.72,13.7,17
Argyll & Bute,Common gull,0.67,13.83,18
Argyll & Bute,Jackdaw,0.51,15.22,19
Argyll & Bute,Pheasant,0.46,14.62,20
Argyll & Bute,Hooded crow,0.44,17.19,21
Argyll & Bute,Magpie,0.37,16.94,22
Argyll & Bute,Song.Thrush,0.28,21.92,23
Argyll & Bute,Wren,0.27,17.81,24
Argyll & Bute,Rook,0.23,4.35,25
Argyll & Bute,Herring gull,0.21,6.32,26
Argyll & Bute,Great spotted woodpecker,0.2,16.6,27
Argyll & Bute,Jay,0.2,10.47,28
Argyll & Bute,Buzzard,0.13,7.71,29
Argyll & Bute,Fieldfare,0.11,1.19,30
Argyll & Bute,Yellowhammer,0.11,3.56,31
Argyll & Bute,Bullfinch,0.1,3.16,32
Argyll & Bute,Treecreeper,0.09,7.51,33
Argyll & Bute,Sparrowhawk,0.07,6.52,34
Argyll & Bute,Black headed gull,0.07,2.17,35
Argyll & Bute,Tree sparrow,0.06,1.78,36
Argyll & Bute,Raven,0.06,2.57,37
Argyll & Bute,Mallard,0.06,1.38,38
Argyll & Bute,Grey heron,0.05,3.95,39
Argyll & Bute,Pied wagtail,0.05,3.56,40
Argyll & Bute,Brambling,0.05,1.98,41
Argyll & Bute,Mistle thrush,0.03,1.98,42
Argyll & Bute,Blackcap,0.02,1.38,43
Argyll & Bute,Goldcrest,0.02,1.38,44
Argyll & Bute,Redpoll,0.02,0.79,45
Argyll & Bute,Redwing,0.02,0.59,46
Argyll & Bute,Red legged partridge,0.02,0,47
Argyll & Bute,Stock dove,0.01,0.79,48
Argyll & Bute,Tawny owl,0.01,0.79,49
Argyll & Bute,Corn bunting,0.01,0.59,50
Argyll & Bute,Reed bunting,0.01,0.79,51
Argyll & Bute,Chiffchaff,0.01,0.4,52
Argyll & Bute,Lesser black backed gull,0.01,0.59,53
Argyll & Bute,Great black backed gull,0.01,0.4,54
Argyll & Bute,Lesser spotted woodpecker,0.01,0.79,55
Argyll & Bute,Kestrel,0.01,0.59,56
Argyll & Bute,Willow tit,0.01,0.2,57
Argyll & Bute,Barn owl,0,0.4,58
Argyll & Bute,Grey wagtail,0,0.2,59
Argyll & Bute,Grey partridge,0,0.2,60
Argyll & Bute,Ring necked parakeet,0,0.2,61
Argyll & Bute,Black redstart,0,0,62
Argyll & Bute,Green woodpecker,0,0,63
Argyll & Bute,Lapwing,0,0,64
Argyll & Bute,Linnet,0,0,65
Argyll & Bute,Little owl,0,0,66
Argyll & Bute,Marsh tit,0,0,67
Argyll & Bute,Meadow pipit,0,0,68
Argyll & Bute,Moorhen,0,0,69
Argyll & Bute,Nuthatch,0,0,70
Argyll & Bute,Red Kite,0,0,71
Argyll & Bute,Skylark,0,0,72
Argyll & Bute,Waxwing,0,0,73
Armagh,House Sparrow,6.14,76.84,1
Armagh,Starling,5.74,67.37,2
Armagh,Chaffinch,5.71,83.68,3
Armagh,Goldfinch,3.35,46.09,4
Armagh,Blue Tit,3.19,86.84,5
Armagh,Blackbird,2.65,93.16,6
Armagh,Great Tit,2.48,75.79,7
Armagh,Coal Tit,2.14,68.95,8
Armagh,Robin,1.74,92.11,9
Armagh,Collared Dove,1.59,58.42,10
Armagh,Magpie,1.46,60.53,11
Armagh,Jackdaw,1.43,34.62,12
Armagh,Carrion crow,1.37,24.62,13
Armagh,Redpoll,1.12,20,14
Armagh,Rook,0.98,13.08,15
Armagh,Greenfinch,0.91,35.26,16
Armagh,Woodpigeon,0.87,31.58,17
Armagh,Long tailed tit,0.76,13.28,18
Armagh,Dunnock,0.73,35.79,19
Armagh,Feral pigeon,0.66,12.31,20
Armagh,Song.Thrush,0.45,33.59,21
Armagh,Pied wagtail,0.42,17.69,22
Armagh,Mistle thrush,0.38,6.15,23
Armagh,Fieldfare,0.35,3.85,24
Armagh,Siskin,0.35,12.31,25
Armagh,Tree sparrow,0.32,6.92,26
Armagh,Wren,0.27,18.75,27
Armagh,Common gull,0.27,4.62,28
Armagh,Mallard,0.26,2.31,29
Armagh,Pheasant,0.25,10,30
Armagh,Bullfinch,0.25,8.46,31
Armagh,Hooded crow,0.21,8.46,32
Armagh,Lapwing,0.19,1.54,33
Armagh,Jay,0.18,10.77,34
Armagh,Black headed gull,0.18,2.31,35
Armagh,Moorhen,0.15,2.31,36
Armagh,Brambling,0.15,1.54,37
Armagh,Buzzard,0.13,6.92,38
Armagh,Grey wagtail,0.12,6.15,39
Armagh,Goldcrest,0.1,3.85,40
Armagh,Ring necked parakeet,0.09,0.77,41
Armagh,Grey heron,0.07,5.38,42
Armagh,Linnet,0.06,3.08,43
Armagh,Sparrowhawk,0.05,4.62,44
Armagh,Blackcap,0.04,3.08,45
Armagh,Raven,0.04,0.77,46
Armagh,Waxwing,0.04,0.77,47
Armagh,Treecreeper,0.02,2.31,48
Armagh,Herring gull,0.02,0.77,49
Armagh,Stock dove,0.02,0.77,50
Armagh,Barn owl,0,0,51
Armagh,Black redstart,0,0,52
Armagh,Chiffchaff,0,0,53
Armagh,Corn bunting,0,0,54
Armagh,Great black backed gull,0,0,55
Armagh,Great spotted woodpecker,0,0,56
Armagh,Green woodpecker,0,0,57
Armagh,Grey partridge,0,0,58
Armagh,Kestrel,0,0,59
Armagh,Lesser black backed gull,0,0,60
Armagh,Lesser spotted woodpecker,0,0,61
Armagh,Little owl,0,0,62
Armagh,Marsh tit,0,0,63
Armagh,Meadow pipit,0,0,64
Armagh,Nuthatch,0,0,65
Armagh,Red Kite,0,0,66
Armagh,Red legged partridge,0,0,67
Armagh,Redwing,0,0,68
Armagh,Reed bunting,0,0,69
Armagh,Skylark,0,0,70
Armagh,Tawny owl,0,0,71
Armagh,Willow tit,0,0,72
Armagh,Yellowhammer,0,0,73
Bedfordshire,House Sparrow,3.51,60.89,1
Bedfordshire,Blackbird,2.74,88.69,2
Bedfordshire,Starling,2.72,48.4,3
Bedfordshire,Woodpigeon,2.21,69.83,4
Bedfordshire,Blue Tit,2.11,77.11,5
Bedfordshire,Collared Dove,1.47,57.11,6
Bedfordshire,Chaffinch,1.39,46.89,7
Bedfordshire,Goldfinch,1.24,29.7,8
Bedfordshire,Robin,1.18,75.83,9
Bedfordshire,Great Tit,1.1,49.31,10
Bedfordshire,Long tailed tit,0.98,23.18,11
Bedfordshire,Dunnock,0.89,46.69,12
Bedfordshire,Magpie,0.74,38.46,13
Bedfordshire,Greenfinch,0.59,21.74,14
Bedfordshire,Feral pigeon,0.54,16.94,15
Bedfordshire,Fieldfare,0.49,17.32,16
Bedfordshire,Jackdaw,0.47,14.56,17
Bedfordshire,Carrion crow,0.41,17.36,18
Bedfordshire,Coal Tit,0.35,19.6,19
Bedfordshire,Wren,0.24,19.39,20
Bedfordshire,Song.Thrush,0.19,16.25,21
Bedfordshire,Common gull,0.18,3.82,22
Bedfordshire,Rook,0.15,2.5,23
Bedfordshire,Pheasant,0.14,6.73,24
Bedfordshire,Great spotted woodpecker,0.13,10.78,25
Bedfordshire,Black headed gull,0.12,1.66,26
Bedfordshire,Blackcap,0.1,8.06,27
Bedfordshire,Siskin,0.1,2.5,28
Bedfordshire,Pied wagtail,0.1,7.41,29
Bedfordshire,Ring necked parakeet,0.07,2.8,30
Bedfordshire,Redpoll,0.07,1.74,31
Bedfordshire,Jay,0.06,4.8,32
Bedfordshire,Reed bunting,0.06,2.5,33
Bedfordshire,Tree sparrow,0.06,1.82,34
Bedfordshire,Nuthatch,0.05,3.63,35
Bedfordshire,Bullfinch,0.05,2.99,36
Bedfordshire,Moorhen,0.04,2,37
Bedfordshire,Green woodpecker,0.04,3.21,38
Bedfordshire,Mistle thrush,0.03,2.53,39
Bedfordshire,Mallard,0.03,0.72,40
Bedfordshire,Herring gull,0.03,0.61,41
Bedfordshire,Sparrowhawk,0.03,2.95,42
Bedfordshire,Black redstart,0.03,1.4,43
Bedfordshire,Waxwing,0.02,0.45,44
Bedfordshire,Stock dove,0.02,0.87,45
Bedfordshire,Brambling,0.02,1.55,46
Bedfordshire,Grey wagtail,0.02,1.7,47
Bedfordshire,Yellowhammer,0.02,0.87,48
Bedfordshire,Red Kite,0.02,1.74,49
Bedfordshire,Red legged partridge,0.01,0.08,50
Bedfordshire,Goldcrest,0.01,1.32,51
Bedfordshire,Redwing,0.01,0.34,52
Bedfordshire,Buzzard,0.01,0.91,53
Bedfordshire,Grey heron,0.01,1.06,54
Bedfordshire,Lesser spotted woodpecker,0.01,0.83,55
Bedfordshire,Marsh tit,0.01,0.72,56
Bedfordshire,Linnet,0.01,0.42,57
Bedfordshire,Chiffchaff,0.01,0.53,58
Bedfordshire,Kestrel,0.01,0.68,59
Bedfordshire,Treecreeper,0.01,0.49,60
Bedfordshire,Barn owl,0,0.42,61
Bedfordshire,Raven,0,0.23,62
Bedfordshire,Meadow pipit,0,0.11,63
Bedfordshire,Willow tit,0,0.26,64
Bedfordshire,Tawny owl,0,0.15,65
Bedfordshire,Corn bunting,0,0.04,66
Bedfordshire,Grey partridge,0,0.08,67
Bedfordshire,Lesser black backed gull,0,0.08,68
Bedfordshire,Great black backed gull,0,0.04,69
Bedfordshire,Lapwing,0,0.04,70
Bedfordshire,Little owl,0,0.04,71
Bedfordshire,Hooded crow,0,0.64,72
Bedfordshire,Skylark,0,0,73
Berkshire,Blue Tit,2.88,87.08,1
Berkshire,Woodpigeon,2.43,77.3,2
Berkshire,Blackbird,2.2,87.86,3
Berkshire,House Sparrow,1.98,40.92,4
Berkshire,Great Tit,1.44,61.16,5
Berkshire,Robin,1.35,83.81,6
Berkshire,Starling,1.29,28.89,7
Berkshire,Goldfinch,1.24,29.81,8
Berkshire,Chaffinch,1.2,43.93,9
Berkshire,Long tailed tit,1.1,28.11,10
Berkshire,Magpie,1.07,52.89,11
Berkshire,Collared Dove,1,43.37,12
Berkshire,Dunnock,0.72,43.45,13
Berkshire,Feral pigeon,0.65,18.47,14
Berkshire,Coal Tit,0.61,33.46,15
Berkshire,Greenfinch,0.6,21.53,16
Berkshire,Jackdaw,0.45,12.9,17
Berkshire,Carrion crow,0.44,18.19,18
Berkshire,Red Kite,0.31,14.71,19
Berkshire,Nuthatch,0.27,19.33,20
Berkshire,Great spotted woodpecker,0.24,18.64,21
Berkshire,Jay,0.23,16.21,22
Berkshire,Wren,0.19,15.3,23
Berkshire,Song.Thrush,0.19,15.97,24
Berkshire,Siskin,0.17,6.13,25
Berkshire,Blackcap,0.17,13.37,26
Berkshire,Common gull,0.16,3.01,27
Berkshire,Rook,0.13,2.7,28
Berkshire,Fieldfare,0.13,3.26,29
Berkshire,Pheasant,0.12,5.21,30
Berkshire,Pied wagtail,0.08,5.93,31
Berkshire,Black headed gull,0.08,1.03,32
Berkshire,Redpoll,0.07,2.37,33
Berkshire,Bullfinch,0.06,3.43,34
Berkshire,Tree sparrow,0.06,1.53,35
Berkshire,Mallard,0.06,0.75,36
Berkshire,Green woodpecker,0.05,4.87,37
Berkshire,Ring necked parakeet,0.05,1.2,38
Berkshire,Reed bunting,0.03,0.95,39
Berkshire,Moorhen,0.03,1.23,40
Berkshire,Stock dove,0.02,1.11,41
Berkshire,Goldcrest,0.02,1.89,42
Berkshire,Lesser spotted woodpecker,0.02,2.01,43
Berkshire,Herring gull,0.02,0.5,44
Berkshire,Sparrowhawk,0.02,2.01,45
Berkshire,Mistle thrush,0.02,1.81,46
Berkshire,Grey wagtail,0.02,1.56,47
Berkshire,Brambling,0.02,1.2,48
Berkshire,Buzzard,0.02,1.34,49
Berkshire,Marsh tit,0.02,1.17,50
Berkshire,Waxwing,0.02,0.17,51
Berkshire,Red legged partridge,0.02,4.48,52
Berkshire,Redwing,0.02,0.39,53
Berkshire,Grey heron,0.01,1.36,54
Berkshire,Lapwing,0.01,0.06,55
Berkshire,Willow tit,0.01,0.56,56
Berkshire,Treecreeper,0.01,0.81,57
Berkshire,Kestrel,0.01,0.67,58
Berkshire,Chiffchaff,0.01,0.33,59
Berkshire,Yellowhammer,0.01,0.25,60
Berkshire,Raven,0,0.22,61
Berkshire,Great black backed gull,0,0.14,62
Berkshire,Linnet,0,0.19,63
Berkshire,Meadow pipit,0,0.11,64
Berkshire,Lesser black backed gull,0,0.08,65
Berkshire,Barn owl,0,0.11,66
Berkshire,Skylark,0,0.06,67
Berkshire,Corn bunting,0,0.08,68
Berkshire,Tawny owl,0,0.08,69
Berkshire,Black redstart,0,0.03,70
Berkshire,Grey partridge,0,0,71
Berkshire,Hooded crow,0,0.58,72
Berkshire,Little owl,0,0,73
Blaenau Gwent,House Sparrow,4.64,65.52,1
Blaenau Gwent,Blackbird,3.59,92.24,2
Blaenau Gwent,Jackdaw,2.99,34.48,3
Blaenau Gwent,Blue Tit,2.87,79.31,4
Blaenau Gwent,Starling,2.32,29.31,5
Blaenau Gwent,Chaffinch,1.95,49.14,6
Blaenau Gwent,Robin,1.92,92.24,7
Blaenau Gwent,Great Tit,1.84,60.34,8
Blaenau Gwent,Long tailed tit,1.46,27.59,9
Blaenau Gwent,Carrion crow,1.45,26.44,10
Blaenau Gwent,Magpie,1.39,56.03,11
Blaenau Gwent,Coal Tit,1.37,50,12
Blaenau Gwent,Goldfinch,1.11,20.69,13
Blaenau Gwent,Dunnock,1.01,45.69,14
Blaenau Gwent,Greenfinch,0.86,29.31,15
Blaenau Gwent,Collared Dove,0.72,29.31,16
Blaenau Gwent,Siskin,0.57,10.34,17
Blaenau Gwent,Woodpigeon,0.47,20.69,18
Blaenau Gwent,Bullfinch,0.47,24.14,19
Blaenau Gwent,Song.Thrush,0.44,31.03,20
Blaenau Gwent,Common gull,0.41,9.2,21
Blaenau Gwent,Wren,0.37,26.44,22
Blaenau Gwent,Feral pigeon,0.31,8.05,23
Blaenau Gwent,Nuthatch,0.18,16.09,24
Blaenau Gwent,Tree sparrow,0.15,2.3,25
Blaenau Gwent,Jay,0.14,10.34,26
Blaenau Gwent,Great spotted woodpecker,0.13,10.34,27
Blaenau Gwent,Mistle thrush,0.07,4.6,28
Blaenau Gwent,Brambling,0.05,2.3,29
